Year,Date,Time,Operator,Flight,Fatalities,Summary,Location,Latitude,Longitude,geometry
1972,1/6/1972,15:35,SAESA,,23,The aircraft crashed about 40 km northwest of Chetumal. following a fire onboard while en route.,"Chetumal, Mexico",18.5145865,-88.3005528,POINT (18.5145865 -88.30055279999998)
1972,1/7/1972,12:10,Iberia Airlines,602,104,"The aircraft crashed into hill while attempting to land. Failure to maintain the minimum flight altitude during the final stages of the visual approach. The accident was the result of a controlled flight into terrain due to a premature descent in limited visibility, causing the airplane to descent below the MDA.","Sierra de Atalayasa, Spain",30.89473,-83.280796,POINT (30.89473 -83.280796)
1972,1/21/1972,,Lineas Aéreas la Urraca,,20,Crashed shortly after leaving Bogota after an explosion aboard.,"Funza, Colombia",4.7163036,-74.2122206,POINT (4.716303599999999 -74.21222059999999)
1972,1/21/1972,10:30,SATENA,661,39,The aircraft struck a mountain in rain and thunderstorms operating as a non-scheduled passenger airliner run by the military.,"Betania, Colombia",5.73407355,-75.98205134,POINT (5.73407355 -75.9820513388304)
1972,1/26/1972,16:10,JAT Yugoslav Airlines,JU 367,27,"The plane crashed after the detonation of a bomb in the forward cargo hold. A flight attendant,  22 year old Vesna Vulovic, fell 33,330 feet in the tail section and although she broke both legs and was temporarily paralyzed from the waist down, she survived. She was in a coma for 27 days and it took 16 months for her to recover. The bomb was believed to be placed on the plane by a Croatian extremist group. On January 27, 1997, 25 years after the crash, Vesna Vulovic returned to the crash-site and was reunited with the firemen who pulled her from the wreckage and the medical team who looked after her in the hospital.","Srbská Kamenice, Czech Republic",50.8201997,14.3524436,POINT (50.8201997 14.3524436)
1972,2/1/1972,,Royal Air Laos/PENAS,,6,Due to a compass error the aircraft became lost and crashed during a forced landing due to fuel starvation.,"Tegal, Indonesia",-7.05571835,109.132648,POINT (-7.05571835 109.1326480414)
1972,2/4/1972,,Air America,,1,"After a go-around due to an obstruction on the runway, the aircraft crashed while attempting to land a second time. Overloaded","Pha Khao, Laos",19.8875826,102.1391439,POINT (19.8875826 102.1391439)
1972,2/5/1972,,TAC Colombia,772,19,Disappeared while en route. Wreckage found 3 days later. The accident was the result of a controlled flight into terrain due to a premature descent.,"Valledupar, Colombia",10.4650361,-73.2528426,POINT (10.4650361 -73.25284259999999)
1972,2/11/1972,13:20,Royal Air Lao,,23,Shot down while en route. Aircraft not found.,"Vientiane, Laos",17.9640988,102.6133707,POINT (17.96409880000001 102.6133707)
1972,3/3/1972,20:48,Mohawk Airlines,405,16,"The aircraft was on final approach to Albany County Airport in light snow and two miles visibility, when the pilot reported a malfunctioning left propeller cruise pitch lock. The captain ordered the engine shut down but the crew was unsuccessful in feathering the prop and the plane began to lose altitude. The plane crashed 4 miles short of the runway into a two-family house killing one man. Malfunction of the cruise pitch lock.  Inability of the crew to feather the left propeller, in combination with the descent below the minimum approach altitude. The reason for the malfunction and inability to feather the prop remains undetermined.","Albany, New York",42.6511674,-73.754968,POINT (42.6511674 -73.75496800000001)
1972,3/14/1972,22:00,Sterling Airways,296,112,"The aircraft struck a mountain ridge during approach, 50 miles E of Dubai. Incorrect information from an outdated flight plan.","Al Fujayrah, United Arab Emirates",25.084933,56.356571,POINT (25.084933 56.356571)
1972,3/19/1972,,Egyptair,763,22,"The aircraft crashed into Shamsam Mountain and exploded, during a visual approach, 4 miles SW of the airport. Controlled flight into terrain.","Shamsam Mountains, South Yemen",15.49926,43.41723,POINT (15.49926 43.41723)
1972,4/12/1972,21:26,VASP,,25,"Crashed in mountainous terrain,  50 miles north of Rio de Janeiro, while on approach. The crew mistakenly tuned the ADF instrument to a wrong NDB, causing the airplane to follow a wrong approach path and to descend at an inappropriate altitude. The lack of visibility due to the night and clouds was considered as a contributing factor.","Rio de Janeiro, Brazil",-22.9110137,-43.2093727,POINT (-22.9110137 -43.2093727)
1972,4/16/1972,22:10,Aero Transporti Italiani,,18,Crashed into high ground while en route in thunderstorm activity. Loss of control due to downdrafts and updrafts in thunderstorm activity.,"Ardinello di Amaseno, Italy",41.468501,13.335553,POINT (41.468501 13.335553)
1972,4/17/1972,17:18,Helaire Helicopter,,3,Float equipped sightseeing helicopter encountered turbulence which led to the blades flapping and a steep nose down crash into the river.,"New York, New York",40.7127281,-74.0060152,POINT (40.7127281 -74.00601519999999)
1972,4/18/1972,9:39,East African Airways,720,43,The aircraft broke-up after overrunning the runway and an aborted takeoff. Partial loss of braking power due to the incorrect reassembly and repairs of the braking system.,"Addis Ababa, Ethiopia",9.0107934,38.7612525,POINT (9.010793400000001 38.76125250000001)
1972,4/20/1972,16:20,SATCO,,6,The cargo plane struck a mountain in poor weather conditions. The pilot elected to use a cruising altitude lower than stipulated in order to save time and continue flying in VFR conditions.,"Moyobamba, Peru",-6.0347302,-76.9746773,POINT (-6.0347302 -76.9746773)
1972,4/24/1972,12:23,Air America,,4,Hit trees while flying through a mountain pass in rain and fog.,"Nyot Mo, Laos",14.309797,105.5602,POINT (14.309797 105.5602)
1972,5/4/1972,23:34,Aeroflot,608,18,Crashed on approach. The plane entered an area of severe wind. Windshear. ATC error. Current weather was not passed on to the plane.,"Bratsk, USSR",56.1325,101.61417,POINT (56.1325 101.61417)
1972,5/5/1972,22:24,Alitalia,112,115,The plane cashed into Mt. Lunga during an approach to Palermo. The crew's non-adherence to airport traffic regulations. The aircraft was named Antonio Pigafetta.,"Carini, Sicily, Italy",38.131172,13.1818847,POINT (38.131172 13.1818847)
1972,5/8/1972,,Aerotechnia,,7,Struck a mountain near Rio Orinoco while en route.,Venezuela,8.0018709,-66.1109318,POINT (8.0018709 -66.1109318)
1972,5/10/1972,10:25,Military - U.S. Army,,34,Metal fatigue of the spar in a blade led to separation of the blade and loss of control of the aircraft.,"Gia Dinh, South Vietnam",10.8046591,106.7078477,POINT (10.8046591 106.7078477)
1972,5/16/1972,12:30,Military - Russian Navy,,9,"The military plane was returning after a flight over the Baltic Sea for weather research. The crew didn’t set the barometric altimeter the airfield, so the altimeter indicated a height higher than the actual altitude. After crossing the shoreline it entered a patch of thick fog. The crew couldn’t see the ground and descended to a dangerously low altitude. The aircraft crashed onto a kindergarten, killing 23 children and two adults. The altimeter from an Il-14 was mistakenly installed in the AN-24.","Svetlogorsk, Russia",54.9417552,20.1550863,POINT (54.9417552 20.1550863)
1972,5/18/1972,11:53,Aeroflot,1491,122,Structural failure and separation of both wings due to a fatigue crack in the center wing section.,"Kharkov, Ukraine, USSR",54.548,85.3597,POINT (54.548 85.3597)
1972,5/21/1972,,DTA Angola Airlines,,22,Overshot the runway in heavy fog and crashed into the ocean while landing.,"Lobito, Angola",-12.3506867,13.5464318,POINT (-12.3506867 13.5464318)
1972,5/27/1972,15:10,General Air,5,8,Crashed after taking off from this North sea island for another island.,"Helgoland, Germany",54.18004525,7.885362101,POINT (54.18004525 7.88536210118069)
1972,5/29/1972,6:04,Petrolium Helicopter,,11,Crashed into the water after the fatigue failure of both tail rotor blade grips.,"Dulac, Louisiana",29.4066079,-90.7005025,POINT (29.4066079 -90.7005025)
1972,5/29/1972,,Amazonese Importacao e Exportacao,,9,"The cargo plane cashed into trees shortly after taking off after two engines failed. Refueling directly from the trucks, without allowing sufficient time for the fuel to settle.","Cruzeiro do Sul Acre, Brazil",-7.6307956,-72.6703869,POINT (-7.630795599999999 -72.67038690000003)
1972,5/30/1972,6:24,Delta Air Lines,9570,4,"While practicing touch and go landing the aircraft crashed after getting caught in the wake turbulence of a DC-10. An encounter with a trailing vortex generated by a preceding ""heavy"" jet which resulted in an involuntary loss of control of the airplane during final approach. Although cautioned to expect turbulence the crew did not have sufficient information to evaluate accurately the hazard or the possible location of the vortex. Existing FAA procedures for controlling VFR flight did not provide the same protection from a vortex encounter as was provided to flights being given radar vectors in either IFR or VFR conditions.","Dallas/Ft. Worth, Texas",32.737242,-97.232572,POINT (32.73724199999999 -97.23257199999999)
1972,6/5/1972,,Air America,,32,The crew failed to realize his altitude was too low when the airplane struck the slope of a mountain located few km from the airport.,"Pleiku, Vietnam",13.9601163,108.0157018,POINT (13.9601163 108.015701812789)
1972,6/13/1972,,Aerolineas Flecha Austral,,3,On approach the cargo plane struck El Ovejero mountain.,"Santiago, Chile",-33.4377968,-70.6504451,POINT (-33.4377968 -70.65044509999998)
1972,6/13/1972,,Military - Vietnamese Air Force,,47,"Shot down by enemy fire, 60 miles north of Saigon, shortly after taking off.","an Loc, South Vietnam",10.790626,105.3695072,POINT (10.790626 105.3695072)
1972,6/14/1972,20:20,Japan Air Lines,471,82,The aircraft crashed short of the runway. Indian officials claimed the crash was caused by a disregard for prescribed procedures in abandoning all instrument references before making visual contact with the runway. Japanese investigators claimed a false glide path signal was responsible for the descent into terrain.,"New Delhi, India",28.6141793,77.2022662,POINT (28.6141793 77.2022662)
1972,6/15/1972,14:00,Cathay Pacific Airways,700Z,81,"The plane crashed while en route from Singapore to Hong Kong. Detonation of an explosive device in the passenger cabin in a suitcase under a seat. A Thai police lieutenant, accused of planting the bomb, was acquitted due to lack of sufficient evidence.","Pleiku, South Vietnam",13.9601163,108.0157018,POINT (13.9601163 108.015701812789)
1972,6/18/1972,16:11,British European Airways,548,118,The plane crashed into a field shortly after taking off from Heathrow Airport. The airplane stalled after the wing's leading edge devices were retracted prematurely after takeoff.  Failure of the captain to maintain adequate speed after noise abatement procedures. Premature retraction of the slats. Incapacitation of the captain due to a possible arterial hemorrhage.,"London Heathrow, Staines, Surrey, England",51.459012,-0.441136,POINT (51.459012 -0.441136)
1972,6/24/1972,23:17,Prinair,191,5,"The pilot over-rotated during a go-around from a landing attempt , lost control and crashed. Crew error. The reason for rejecting the landing is not known.","Ponce, Puerto Rico",18.2214149,-66.4132818,POINT (18.2214149 -66.4132817951385)
1972,6/29/1972,9:37,North Central Airlines / Air Wisconsin,290 / 671,13,Both aircraft were proceeding under VFR getting ready to land when there was a midair collision. Both aircraft crashed into Lake Winnebago and sank. The failure of both flightcrews to detect visually the other aircraft in sufficient time to initiate evasive action.,"Appleton, Wisconsin",44.2611337,-88.4067604,POINT (44.26113370000001 -88.40676040000002)
1972,7/5/1972,,Pacific Southwest Airlines,710,3,Two hijackers and one passenger killed.,"San Francisco, California",37.7790262,-122.4199061,POINT (37.7790262 -122.4199061)
1972,7/6/1972,2:00,Aviaco,331,10,"The plane ditched into the sea, 14 miles from Gran Canana Island while on approach. Reasons unknown.","Las Palmas, Canary Islands, Spain",28.128874,-15.4349448,POINT (28.128874 -15.4349448)
1972,7/11/1972,16:00,Military - Royal Norwegian Air Force,,19,Crashed in rain and fog on the island of Hinno while preparing to land at Skagon Airport. Navigational error.  The pilot was found be under the influence of alcohol.,"Grytoya, Norway",68.9226624,16.4621071,POINT (68.92266240000001 16.4621071)
1972,7/11/1972,,Military - U.S. Marine Corps,,52,"Shot down by enemy fire, 60 miles north of Siagon.","Quang Tri, South Vietnam",16.8581352,106.8588935,POINT (16.8581352 106.8588935)
1972,7/20/1972,,Charter,,1,"On the takeoff run, a loud explosion was heard and the takeoff was aborted. The aircraft never became airborne,  overran the runway and crashed into shallow water.  On passenger that did not have her seatbelt on was killed.","Corfu Island, Greece",39.591337,19.85961892,POINT (39.591337 19.8596189187339)
1972,7/29/1972,6:53,AVIANCA / AVIANCA,,38,Midair collision. Seventeen aboard the HK-134 and twenty-one aboard the HK-107 killed.,"Villavicencio, Colombia",4.1315113,-73.6206667,POINT (4.1315113 -73.6206667)
1972,8/12/1972,22:42,Indian Airlines,,18,Crashed on second approach after the pilot used the wrong flap setting and gears down after initiating a go-around.,"Delhi, India",28.6517178,77.2219388,POINT (28.6517178 77.22193879999998)
1972,8/12/1972,4:00,Military - U.S. Air Force,,30,The aircraft was hit by small arms fire shortly after taking off from Soc Trang Air Base.,"Soc Trang, South Vietnam",9.5664427,105.876444,POINT (9.5664427 105.876444)
1972,8/14/1972,17:00,Interflug,,156,"In cargo bay 6, hot air, leaking from an air conditioning system, melted insulation off cabling causing a short circuit in the stabilizing system. Melting insulation ignited flammable fluid which led to an uncontrollable fire that eventually weakened the structure until the tail fell off.","Konigs Wusterausen, East Germany",31.4399,-95.35078,POINT (31.4399 -95.35078)
1972,8/16/1972,,Burma Airways,,26,Lost control soon after it took off and crashed into the sea.,"Sandoway, Burma",18.4664443,94.3668616,POINT (18.4664443 94.36686159999999)
1972,8/27/1972,,Lineas Areas Venezolanas,,34,The aircraft crashed while the crew was returning to the airport after experiencing a No.1 engine failure.,"Canaima, Venezuela",10.6268452,-63.1794655,POINT (10.6268452 -63.17946550000001)
1972,8/28/1972,14:30,Military - Royal Australian Air Force,,25,"While traveling through a valley, the pilot reversed his course after the weather deteriorated. He began to climb but clipped trees just below a ridge, lost control of the aircraft and crashed. The pilot's error in judgement in not flying about the poor weather in the valley.","Papua, New Guinea",-5.52259885,142.0871176,POINT (-5.52259885 142.087117627033)
1972,8/31/1972,10:19,Aeroflot,558,102,"The aircraft crashed, trailing heavy smoke. Fire caused by spontaneous ignition of passenger baggage.","Magnitogorsk, Russia",53.4242184,58.983136,POINT (53.4242184 58.983136)
1972,9/1/1972,,Ansett Airlines of Papua New Guinea,,4,"While on a VFR flight, the aircraft, struck  Mt. Giluwe at  14,346 feet. Cause undetermined.","Mt. Giluwe, Papua, New Guinea",-5.695438,143.910495,POINT (-5.695437999999998 143.910495)
1972,9/7/1972,17:57,Servicios Aereas Virgen de Copacabana,,1,"The No.1 engine failed during takeoff, the aircraft banked left, lost height, touched down again and ran through small trees and a fence . The right gear collapsed and the nose hit the ground.","Trinidad, Bolivia",-14.8349438,-64.9044936,POINT (-14.8349438 -64.9044936)
1972,9/10/1972,10:20,Ethiopian Airlines,,11,Crashed after a wing separated from the fuselage caused by the presence of fatigue cracks in the root.,"Gondar, Ethiopia",12.610368,37.466766,POINT (12.610368 37.466766)
1972,9/13/1972,12:00,Military - Royal Nepalese Air Force,,31,Crashed while en route with paratroopers in limited visibility,"Dhulikhel, Nepal",27.618921,85.552917,POINT (27.618921 85.55291700000002)
1972,9/24/1972,,Air Vietnam (South Vietnam),,10,Crashed 23 miles from Saigon while attempting an emergency landing.,"Ben Cat, South Vietnam",11.131155,106.6001481,POINT (11.131155 106.600148111878)
1972,9/24/1972,,Private,,0,"A World War II vintage Sabrejet fighter leaving an air show at Executive Airport was unable to get airborn and crashed into a Farrell's Ice Cream Parlor on Freeport Blvd. Twenty-two people on the ground, including 12 children were killed. The pilot, was pulled from the wreckage by a bystander and survived. The pilot tried to lift off too quickly, pointing the nose of the jet three times higher than the normal angle. Instead of becoming airborne sooner, the plane had trouble getting off the ground.","Sacramento, California",38.5810606,-121.4938951,POINT (38.5810606 -121.4938951)
1972,10/1/1972,19:25,Aeroflot,1036,108,"The flight ditched into Black Sea shortly after takeoff. The accident occurred in good weather and visibility, and ground controllers received no distress message prior to the crash. An investigation failed to reveal its cause.","Adler, USSR",43.426364,39.924876,POINT (43.426364 39.924876)
1972,10/2/1972,,Cambodia Air,,9,Shot down by a mortar shell while approaching to land at Kampot.,"Kampot, Cambodia",10.6314754,104.132637,POINT (10.6314754 104.132637)
1972,10/13/1972,15:30,Uruguayan Air Force - TAMU,,29,"The plane left Montevideo bound for Santiago, Chile carrying the Old Christians Rugby Team. After leaving Mendoza and while flying at FL150, the copilot radioed he was over Curico and requested clearance to FL100. Because of head winds, the plane was actually still over the Andes. As the plane descended into clouds it ran into turbulence and the crew found themselves surrounded by mountains on all sides. The crew tried to climb out but the right wingtip struck the mountainside. The right wing detached and separated from the aircraft taking off part of the tail. The fuselage slid down a mountain slope and came to rest in the Andes mountains at an altitude of 12,000 feet. The survivors were not found until 12/22/72. Eight passengers died in an avalanche on October 30. Survivors resorted to cannibalism to stay alive. The book and movie ""Alive"" is based on this accident. The aircraft flew into a rotor zone or mountain wave which led to loss of control of the aircraft.","San Fernando, Chile",-34.5837722,-70.9891244,POINT (-34.5837722 -70.98912440000002)
1972,10/13/1972,21:50,Aeroflot,217,174,"The aircraft crashed at the outer marker while attempting to land for the third time in poor weather conditions.  Sudden incapacitation of the crew for reasons unknown. Contributing to the accident, the airport's instrument landing system was not working.","Moscow, USSR",55.7101229,37.78177495,POINT (55.71012289999999 37.7817749515823)
1972,10/16/1972,9:00,Private,,4,"The plane was on a flight from Anchorage to Juneau when it disappeared as it was approaching the Chugach Mountain range.  The weather along the prescribed route was not condusive to VFR flight.  Louisiana Congressman and House Majority Leader Hale Boggs, Alaska Congressman Nick Begich and his aide killed. Cause unknown.",the Alaska coast,57.7505943,-152.4883466,POINT (57.7505943 -152.4883466)
1972,10/21/1972,21:30,Olympic Airways,,37,Crashed into the sea just short of the runway while on approach in poor visibility. Controlled flight into water.,"Athens, Greece",37.9839412,23.7283052,POINT (37.9839412 23.7283052)
1972,10/23/1972,,Air Melanesie,,1,"After takeoff from Lenakel Airport, en route to Port Vila, the pilot wanted to show cattle to a passenger and decided to reduce his altitude when the twin engine airplane struck trees. Pilot error.","Tanna, Vanuatu",-19.48577845,169.3345014,POINT (-19.48577845 169.3345014483)
1972,10/27/1972,19:18,Air Inter,696,60,Crashed while landing in severe turbulence. Faulty indication by radio compass.,"Noiretable, Loire, France",45.817108,3.7661111,POINT (45.81710800000001 3.7661111)
1972,10/30/1972,20:40,Aero Transporti Italiani,,27,Plummeted to the ground and burst into flames near a farmhouse after losing control with the tower. Visual approach in descent below minima.,"Poggiorsini, Italy",40.917126,16.254774,POINT (40.917126 16.254774)
1972,10/31/1972,18:00,Military - U.S. Army,,22,Shot down by enemy fire over the Mekong Delta region.,"My Tho, South Vietnam",10.3606197,106.3658439,POINT (10.3606197 106.3658439)
1972,11/4/1972,20:02,Balkan Bulgarian Airlines,,35,"The crew elected to divert to Plovdiv due to fog. While on approach, the aircraft flew into a mountain. ATC error.","Plovdiv, Bulgaria",42.1418541,24.7499297,POINT (42.1418541 24.7499297)
1972,11/17/1972,23:20,Metro Air Systems,,11,"Improperly loaded aircraft, weight and center of gravity.","Elkton, Kentucky",36.8100425,-87.1541675,POINT (36.8100425 -87.1541675)
1972,11/28/1972,19:51,Japan Air Lines,446,62,"The aircraft lost altitude while taking off and crashed. The copilot responded to the captain's ""gear-up"" command by reaching forward and pulling back on the ground spoiler handle, rather than lifting the gear handle which was immediately ahead of the spoiler control. Late night partying by the crew was suspected the night before.","Moscow, Russia",55.7504461,37.6174943,POINT (55.7504461 37.6174943)
1972,12/3/1972,7:33,Spantax,,155,Reached a height of 300 feet  when the plane suddenly plunged to earth and crashed. Loss of control precipitated by abnormal maneuvers made by the pilot in command in zero visibility. Crew's loss of situational awareness. Spatial disorientation immediately after takeoff in an almost zero visibility configuration.,"Tenerife, Canary Islands",28.2935785,-16.62144712,POINT (28.2935785 -16.6214471211441)
1972,12/8/1972,12:15,Pakistan International Airlines,631,26,Crashed into hilly area in poor weather conditions. Controlled flight into terrain.,"Rawalpindi, Pakistan",33.5914237,73.0535122,POINT (33.5914237 73.0535122)
1972,12/8/1972,14:28,United Air Lines,553,43,"The aircraft crashed while making a nonprecision instrument approach to Runway 31L. The accident occurred in a residential area approximately 1.5 miles southeast of the approach end of Runway 31L. Upon reaching mimimum descent altitude, the pilot raised the nose of the aircraft to stop the descent. The stall warning horn sounded and continued to sound until the plane crashed 17 seconds later. The aircraft was destroyed by impact and subsequent fire. The captain's failure to exercise positive flight management during the execution of a non-precision approach, which culminated in a critical deterioration of airspeed resulting in a stall from which level flight could no longer be maintained. U.S. Representative from Illinois George Collins killed. Wife of  Watergates E. Howard Hunt, Dorothy Hunt, also killed.","Midway Airport, Chicago, Illinois",41.78544375,-87.75082779,POINT (41.78544375 -87.7508277936727)
1972,12/20/1972,18:00,Delta Air Lines/ North Central Airlines,954/575,10,"The Delta Convair, taxing across Runway 27L, after landing in heavy fog, was hit by the North Central DC-9 as it took off, shearing off its tail. The DC-9 came crashing back down on the runway and caught fire. Ten people out of 45 aboard the DC-9 were killed. None of the 88 aboard the Convair were killed. The ATC gave ambiguous instructions to the Delta crew, did not use all available information to determine the location of the CV-880 and the CV-880 crew did not request clarification of the controller's instructions.","Chicago, Illinois",41.8755616,-87.6244212,POINT (41.87556160000001 -87.6244212)
1972,12/21/1972,,Air Guadeloupe,,13,Crashed on approach into the sea at night.,"St. Maarten off, Netherlands Antilles",18.042123,-63.058205,POINT (18.042123 -63.05820500000001)
1972,12/23/1972,16:34,Braathens,,40,"Hit high ground while on approach to Fornebu Airport in Oslo. The aircraft descended well below the MDA and was off course by 2,5° at the time of the accident.Pilot error.","Skaugum, Norway",59.8542345,10.4437984,POINT (59.8542345 10.4437984)
1972,12/29/1972,23:42,Eastern Air Lines,401,103,"The crew was preoccupied with a landing gear problem and was trying to replace the landing gear light while on autopilot and in a holding pattern. As the captain got up to help, he inadvertently pushed on the yoke releasing the autopilot. With no ground reference and  under nighttime conditions, the aircraft gradually descended until it crashed into Everglades, 18.7 miles west-northwest of Miami . The failure of the crew to monitor the flight instruments during the final 4 minutes of flight, and to detect a descent soon enough to prevent impact with the ground. After spare parts from the L-1011 were used on other planes, apparitions of the captain, Robert Loft and flight engineer, Don Repo began to be reported by Eastern employees. The book ""The Ghost of Flight 401""and movies ""The Ghost of Flight 401"" and ""Crash"" are based on this accident. Three passengers and one crew member died in weeks following the accident making the total 103.","Everglades National Park, Florida",25.3870275,-80.88026317,POINT (25.3870275 -80.8802631659629)
1972,12/31/1972,19:23,American Express Leasing,,5,"The flight crashed moments after taking off after losing the No. 2 engine and losing power in the No. 3 engine.  Overloaded by 4,193 lbs.  Inadequate maintenance, inspection and previous damage to the engine during a taxing accident led to the engine failures. Baseball player Roberto Clemente, 38, killed. Clemente was on a relief mission to deliver supplies for earthquake victims in Nicaragua.","San Juan, Puerto Rico",18.465299,-66.116666,POINT (18.465299 -66.11666600000001)
1973,1/2/1973,8:34,Pacific Western Airlines,,5,"Landing in poor visibility, turbulence and snow, the cargo plane came in for a landing at a high sink rate. The captain took over the controls to try to arrest the sink rate but the plane crashed into trees, a powerline and finally into a ridge short of the runway. The plane broke in two and was destroyed by fire.","Edmonton, Alberta, Canada",53.535411,-113.507996,POINT (53.535411 -113.507996)
1973,1/19/1973,14:31,British European Airways,,4,Crashed into Ben More mountain. The pilot did not maintain a safe altitude and gave insufficient attention to navigation when flying VFR into an area of snow covered high ground in marginal weather conditions.,"Glasgow, Scotland",55.8609825,-4.2488787,POINT (55.8609825 -4.248878700000001)
1973,1/21/1973,23:56,Aeroflot,,39,"The plane went into a spiral dive. As the crew tried to pull the plane out, it broke up due to excesss g loads. Four survived the crash as the plane landed in a blanket of snow but succumbed to the cold before they could be rescued. Cause unknown.","Perm, Russia",58.014965,56.246723,POINT (58.014965 56.246723)
1973,1/22/1973,9:30,Alia Royal Jordanian Airlines,,176,The landing gear collapsed after hitting a depression in the runway while landing. The aircraft ran off the side of the runway and caught fire. Wake turbulence during the landing.,"Kano, Nigeria",11.8948389,8.5364136,POINT (11.8948389 8.536413599999999)
1973,1/27/1973,,TAN,,3,The cargo plane crashed and burned ten miles from the destination airport.,"Tegucigalpa, Honduras",14.1056861,-87.204676,POINT (14.1056861 -87.20467600000001)
1973,1/29/1973,,Egyptair,741,37,Crashed into the Kyrenia Mountains while on approach. Controlled flight into terrain.,"Kyrenia, Cyprus",35.3352654,33.3188405,POINT (35.3352654 33.3188405)
1973,2/19/1973,9:15,Petrolium Helo Inc.,,5,"Crashed after the failure of the main rotor.  Pylon support link failed due to fatigue, causing complete failure of the main rotor.","Morgan City, Louisiana",29.6993748,-91.20677,POINT (29.6993748 -91.20676999999999)
1973,2/19/1973,10:06,Aeroflot,,66,The plane struck the ground short of the runway while landing. Possible windshear or jammed tailplane. Official cause unknown,"Prague, Czechoslovakia",35.488426,-96.686522,POINT (35.48842600000001 -96.686522)
1973,2/21/1973,14:10,Libya Arab Airlines,114,108,"While en route from Tripoli to Cairo, the aircraft drifted over Israeli territory due to strong tailwinds and was shot down by Israeli Phantom fighters. After being hit, a fire broke out and the crew attempted to make an emergency landing in the desert but crashed and burst into flames. Cairo approach control radar and beacon not functioning.","Isma'iliya, Egypt",30.5963288,32.39532736,POINT (30.5963288 32.3953273604768)
1973,2/21/1973,,Aerovias Urraca,,22,Flew into Cerro Horqueta Mountain. Controlled flight into terrain.,"Cerro Horqueta, Panama",8.8265094,-82.4456064,POINT (8.826509399999997 -82.4456064)
1973,2/24/1973,7:37,Aeroflot,630,79,The aircraft entered a spin after the plane banked 60 degrees and then dove into the ground.,"Leningrad, Russia",59.938732,30.316229,POINT (59.93873199999999 30.316229)
1973,2/28/1973,,Merpati Nusantara Airlines,,13,Crashed while en route 45 km east of Nabire.,"Nabire, Indonesia",-3.2048097,135.9754943,POINT (-3.2048097 135.975494347338)
1973,2/28/1973,18:59,Aeroflot,256,32,Crashed back on the the runway and broke apart. Official cause could not be determined.,"Semipalatinsk, Kazakhstan",50.405029,80.249176,POINT (50.405029 80.24917600000001)
1973,3/3/1973,12:45,Balkan Bulgarian Airlines,307,25,"Crashed, broke up and burst in flames while on second approach after descending below glide slope. Icing of tailplane.","Moscow, USSR",55.7101229,37.78177495,POINT (55.71012289999999 37.7817749515823)
1973,3/5/1973,13:50,Lineas Aereas de Espana/Spantax SA Transportes,504/400,68,"Midair collision. Both planes were headed to London, at the same altitude, but different airways. When the Convair was at the ATC sector boundary, the crew could barely hear the Marina controller who instructed them to contact Menhir control. The pilot erroneously thought he had to contact Menhir control when passing the Nantes VOR. In order to delay their arrival at the VOR the Convair crew twice tried to request permission to carry out a 360-degree turn. When they did not get any answer from Marina control, they initiated the turn without clearance. While in the midst of an overcast, the Convair collided with the DC-9. The CV-990 lost an outboard portion of its left wing and managed to carry out an emergency landing at Cognac-Châteaubernard Air Base. The DC-9 lost control and crashed. The air traffic control system had been taken over that day by military personnel because of a strike of civilian controllers.","Nantes, France",47.2186371,-1.5541362,POINT (47.2186371 -1.5541362)
1973,3/15/1973,,Indian Airlines,,3,While turning and aligning to land the right wing tip struck power lines and a tree. The aircraft then hit a house and caught fire. Multiple errors by the instructor as well as the trainees due to being under the influence of  alcohol.,"Hyderabad, India",17.38878595,78.46106473,POINT (17.38878595 78.4610647345315)
1973,3/19/1973,10:05,Air Vietnam (South Vietnam),,62,Crashed after an explosion in the cargo hold.,"Ben Me Thuot, South Vietnam",12.646102,108.016858,POINT (12.646102 108.016858)
1973,4/10/1973,10:13,Invicta International Airlines (UK),435,108,Crashed into a forest during a snowstorm. Malfunctioning navigation equipment. Navigational error by crew.,"Basel, Switzerland",47.5581077,7.5878261,POINT (47.55810770000001 7.5878261)
1973,4/12/1973,14:50,Military - U.S. Navy / NASA,,16,"A Navy P-3C collided with a NASA research jet as it prepared to land at Moffett Naval Air Station. A ground controller mistakenly gave both planes permission to land on the same runway and the NASA plane settled on top of the P-3, 300 ft. off the ground. Both planes crashed onto a golf course. Five aboard the P-3 and 11 aboard the Convair were killed.","Moffett AFB, California",-7.53333,-38.16667,POINT (-7.53333 -38.16667)
1973,4/18/1973,,Bakhtar Afghan Airlines,,4,The chartered American/Canadian tour group's plane crashed on takeoff.,"Bamiyan, Afghanistan",34.75,67.25,POINT (34.75 67.25)
1973,5/11/1973,4:37,Aeroflot,6551,61,The plane disintegrated during an emergency descent and crashed 84km from Semipalatins. Collision with a foreign object causing damage to the wing.,"Semipalatinsk, USSR",50.42675,80.26669,POINT (50.42675 80.26669)
1973,5/18/1973,9:38,Aeroflot,109,81,The aircraft broke up at FL 300. Detonation of a bomb in the cabin being carried by a hijacker.,"Chita, Siberia, USSR",52.049608,113.460101,POINT (52.049608 113.460101)
1973,5/19/1973,15:00,Cambodia Air,,11,Crashed shortly after taking off after being hit by ground fire.,"Svay Rieng, Cambodia",11.1942275,105.7973275,POINT (11.1942275 105.797327508362)
